Current Pose: X: -0.330144, Y: -0.393884, Z: 0.895673, Yaw: 1.46482, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495216, Y: 0.590825, Z: -1.34351, Velocity_in: X: -0.00136215, Y: -0.00572599, Z: 0.00745544, Error: X: 0.330144, Y: 0.393884, Z: -0.895673, 
Current Pose: X: -0.330141, Y: -0.393983, Z: 0.896206, Yaw: 1.4648, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495211, Y: 0.590975, Z: -1.34431, Velocity_in: X: -0.00138233, Y: -0.00563832, Z: 0.00762535, Error: X: 0.330141, Y: 0.393983, Z: -0.896206, 
Current Pose: X: -0.330136, Y: -0.394095, Z: 0.896781, Yaw: 1.46483, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495204, Y: 0.591142, Z: -1.34517, Velocity_in: X: -0.00183261, Y: -0.00553175, Z: 0.00800293, Error: X: 0.330136, Y: 0.394095, Z: -0.896781, 
Current Pose: X: -0.330138, Y: -0.394188, Z: 0.897196, Yaw: 1.46488, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495207, Y: 0.591283, Z: -1.34579, Velocity_in: X: -0.00153514, Y: -0.00542575, Z: 0.00797312, Error: X: 0.330138, Y: 0.394188, Z: -0.897196, 
Current Pose: X: -0.330151, Y: -0.394309, Z: 0.897769, Yaw: 1.46486, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495226, Y: 0.591464, Z: -1.34665, Velocity_in: X: -0.00183447, Y: -0.00522766, Z: 0.00824086, Error: X: 0.330151, Y: 0.394309, Z: -0.897769, 
Current Pose: X: -0.330184, Y: -0.394425, Z: 0.898376, Yaw: 1.46487, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495275, Y: 0.591637, Z: -1.34756, Velocity_in: X: -0.00166013, Y: -0.00512565, Z: 0.00829282, Error: X: 0.330184, Y: 0.394425, Z: -0.898376, 
Current Pose: X: -0.33022, Y: -0.394511, Z: 0.898938, Yaw: 1.46491, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495329, Y: 0.591767, Z: -1.34841, Velocity_in: X: -0.00171975, Y: -0.00479155, Z: 0.0085809, Error: X: 0.33022, Y: 0.394511, Z: -0.898938, 
Current Pose: X: -0.330284, Y: -0.394631, Z: 0.899638, Yaw: 1.4649, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495426, Y: 0.591946, Z: -1.34946, Velocity_in: X: -0.00195345, Y: -0.00447694, Z: 0.00864292, Error: X: 0.330284, Y: 0.394631, Z: -0.899638, 
Current Pose: X: -0.330373, Y: -0.394743, Z: 0.900315, Yaw: 1.46495, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49556, Y: 0.592115, Z: -1.35047, Velocity_in: X: -0.0019306, Y: -0.00390668, Z: 0.00800847, Error: X: 0.330373, Y: 0.394743, Z: -0.900315, 
Current Pose: X: -0.330469, Y: -0.394851, Z: 0.901077, Yaw: 1.46492, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495703, Y: 0.592276, Z: -1.35162, Velocity_in: X: -0.0019569, Y: -0.0036353, Z: 0.00789938, Error: X: 0.330469, Y: 0.394851, Z: -0.901077, 
