Current Pose: X: 0.126409, Y: -0.00213836, Z: -3.12272, Yaw: 1.58166, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126409, Y: 0.00213836, Z: 3.12272, Velocity_in: X: -6.90504e-05, Y: 0.00115383, Z: 0.0316782, Error: X: -0.126409, Y: 0.00213836, Z: 3.12272, 
Current Pose: X: 0.126419, Y: -0.00216489, Z: -3.12206, Yaw: 1.58167, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126419, Y: 0.00216489, Z: 3.12206, Velocity_in: X: -0.000105036, Y: 0.00124085, Z: 0.0318142, Error: X: -0.126419, Y: 0.00216489, Z: 3.12206, 
Current Pose: X: 0.126418, Y: -0.00218651, Z: -3.12172, Yaw: 1.58169, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126418, Y: 0.00218651, Z: 3.12172, Velocity_in: X: -5.07979e-05, Y: 0.00117308, Z: 0.0317762, Error: X: -0.126418, Y: 0.00218651, Z: 3.12172, 
Current Pose: X: 0.12644, Y: -0.00222657, Z: -3.12121, Yaw: 1.58172, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12644, Y: 0.00222657, Z: 3.12121, Velocity_in: X: -7.23256e-05, Y: 0.00122038, Z: 0.031605, Error: X: -0.12644, Y: 0.00222657, Z: 3.12121, 
Current Pose: X: 0.126478, Y: -0.00229074, Z: -3.12042, Yaw: 1.58172, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126478, Y: 0.00229074, Z: 3.12042, Velocity_in: X: -0.000134165, Y: 0.00117574, Z: 0.0314518, Error: X: -0.126478, Y: 0.00229074, Z: 3.12042, 
Current Pose: X: 0.126513, Y: -0.00234116, Z: -3.11969, Yaw: 1.58173, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126513, Y: 0.00234116, Z: 3.11969, Velocity_in: X: -0.000255729, Y: 0.000989755, Z: 0.031452, Error: X: -0.126513, Y: 0.00234116, Z: 3.11969, 
Current Pose: X: 0.126552, Y: -0.00239391, Z: -3.11882, Yaw: 1.58175, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126552, Y: 0.00239391, Z: 3.11882, Velocity_in: X: -0.000274724, Y: 0.000958253, Z: 0.0316219, Error: X: -0.126552, Y: 0.00239391, Z: 3.11882, 
Current Pose: X: 0.126597, Y: -0.0024483, Z: -3.11788, Yaw: 1.58176, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126597, Y: 0.0024483, Z: 3.11788, Velocity_in: X: -0.000380104, Y: 0.000909024, Z: 0.0316197, Error: X: -0.126597, Y: 0.0024483, Z: 3.11788, 
Current Pose: X: 0.126638, Y: -0.00251369, Z: -3.11732, Yaw: 1.58178, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126638, Y: 0.00251369, Z: 3.11732, Velocity_in: X: -0.000334121, Y: 0.000797201, Z: 0.0317152, Error: X: -0.126638, Y: 0.00251369, Z: 3.11732, 
Current Pose: X: 0.126667, Y: -0.00256434, Z: -3.11688, Yaw: 1.5818, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126667, Y: 0.00256434, Z: 3.11688, Velocity_in: X: -0.000404308, Y: 0.000682082, Z: 0.0314599, Error: X: -0.126667, Y: 0.00256434, Z: 3.11688, 
