Current Pose: X: 0.00216683, Y: -0.00789303, Z: -3.45158, Yaw: 1.87942, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00216683, Y: 0.00789303, Z: 3.45158, Velocity_in: X: -0.00568705, Y: -0.00177251, Z: -0.00409921, Error: X: -0.00216683, Y: 0.00789303, Z: 3.45158, 
Current Pose: X: 0.00229429, Y: -0.00774921, Z: -3.45207, Yaw: 1.87941, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00229429, Y: 0.00774921, Z: 3.45207, Velocity_in: X: -0.00594259, Y: -0.00141025, Z: -0.00374866, Error: X: -0.00229429, Y: 0.00774921, Z: 3.45207, 
Current Pose: X: 0.00223816, Y: -0.0076375, Z: -3.45249, Yaw: 1.8794, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00223816, Y: 0.0076375, Z: 3.45249, Velocity_in: X: -0.00172582, Y: -0.00071915, Z: -0.00352578, Error: X: -0.00223816, Y: 0.0076375, Z: 3.45249, 
Current Pose: X: 0.00218411, Y: -0.00752531, Z: -3.45291, Yaw: 1.87939, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00218411, Y: 0.00752531, Z: 3.45291, Velocity_in: X: -0.00139236, Y: -0.000495981, Z: -0.00346326, Error: X: -0.00218411, Y: 0.00752531, Z: 3.45291, 
Current Pose: X: 0.00214987, Y: -0.00744812, Z: -3.45332, Yaw: 1.87936, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00214987, Y: 0.00744812, Z: 3.45332, Velocity_in: X: -0.00164547, Y: -0.000525921, Z: -0.00321269, Error: X: -0.00214987, Y: 0.00744812, Z: 3.45332, 
Current Pose: X: 0.00211724, Y: -0.00735157, Z: -3.45381, Yaw: 1.87935, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00211724, Y: 0.00735157, Z: 3.45381, Velocity_in: X: -0.00190287, Y: -0.000917686, Z: -0.00322517, Error: X: -0.00211724, Y: 0.00735157, Z: 3.45381, 
Current Pose: X: 0.00208567, Y: -0.00726706, Z: -3.45434, Yaw: 1.87938, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00208567, Y: 0.00726706, Z: 3.45434, Velocity_in: X: -0.00180424, Y: -0.000910052, Z: -0.00340324, Error: X: -0.00208567, Y: 0.00726706, Z: 3.45434, 
Current Pose: X: 0.00206316, Y: -0.00722384, Z: -3.45486, Yaw: 1.87936, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00206316, Y: 0.00722384, Z: 3.45486, Velocity_in: X: -0.00206123, Y: -0.000707952, Z: -0.00328425, Error: X: -0.00206316, Y: 0.00722384, Z: 3.45486, 
Current Pose: X: 0.00204814, Y: -0.00721182, Z: -3.45525, Yaw: 1.87932, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00204814, Y: 0.00721182, Z: 3.45525, Velocity_in: X: -0.0029074, Y: -0.000557198, Z: -0.00333856, Error: X: -0.00204814, Y: 0.00721182, Z: 3.45525, 
Current Pose: X: 0.00203871, Y: -0.00722709, Z: -3.45572, Yaw: 1.87932, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00203871, Y: 0.00722709, Z: 3.45572, Velocity_in: X: -0.00320663, Y: -0.000510326, Z: -0.00341232, Error: X: -0.00203871, Y: 0.00722709, Z: 3.45572, 
