Current Pose: X: -0.73663, Y: 0.792992, Z: -1.32227, Yaw: 1.76977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73663, Y: -0.792992, Z: 1.32227, Velocity_in: X: 0.000154654, Y: -0.000988589, Z: 0.00139898, Error: X: 0.73663, Y: -0.792992, Z: 1.32227, 
Current Pose: X: -0.736602, Y: 0.792981, Z: -1.32228, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736602, Y: -0.792981, Z: 1.32228, Velocity_in: X: 0.000500757, Y: -0.00134203, Z: 0.00180024, Error: X: 0.736602, Y: -0.792981, Z: 1.32228, 
Current Pose: X: -0.736575, Y: 0.792982, Z: -1.32235, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736575, Y: -0.792982, Z: 1.32235, Velocity_in: X: 0.000958668, Y: -0.00152077, Z: 0.00185914, Error: X: 0.736575, Y: -0.792982, Z: 1.32235, 
Current Pose: X: -0.736565, Y: 0.792986, Z: -1.32241, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736565, Y: -0.792986, Z: 1.32241, Velocity_in: X: 0.000903674, Y: -0.00211994, Z: 0.00193751, Error: X: 0.736565, Y: -0.792986, Z: 1.32241, 
Current Pose: X: -0.736557, Y: 0.792991, Z: -1.32249, Yaw: 1.76973, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736557, Y: -0.792991, Z: 1.32249, Velocity_in: X: 0.000989958, Y: -0.00183666, Z: 0.00223547, Error: X: 0.736557, Y: -0.792991, Z: 1.32249, 
Current Pose: X: -0.736532, Y: 0.792987, Z: -1.32253, Yaw: 1.7697, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736532, Y: -0.792987, Z: 1.32253, Velocity_in: X: 0.000960018, Y: -0.00167106, Z: 0.00235039, Error: X: 0.736532, Y: -0.792987, Z: 1.32253, 
Current Pose: X: -0.736501, Y: 0.792983, Z: -1.32256, Yaw: 1.76971, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736501, Y: -0.792983, Z: 1.32256, Velocity_in: X: 0.000714167, Y: -0.00196907, Z: 0.00255759, Error: X: 0.736501, Y: -0.792983, Z: 1.32256, 
Current Pose: X: -0.736463, Y: 0.792976, Z: -1.32264, Yaw: 1.7697, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736463, Y: -0.792976, Z: 1.32264, Velocity_in: X: 0.00064303, Y: -0.00225144, Z: 0.00289141, Error: X: 0.736463, Y: -0.792976, Z: 1.32264, 
Current Pose: X: -0.736405, Y: 0.792965, Z: -1.3227, Yaw: 1.76968, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736405, Y: -0.792965, Z: 1.3227, Velocity_in: X: 0.00072799, Y: -0.00234436, Z: 0.00279628, Error: X: 0.736405, Y: -0.792965, Z: 1.3227, 
Current Pose: X: -0.736348, Y: 0.792948, Z: -1.32278, Yaw: 1.7697, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736348, Y: -0.792948, Z: 1.32278, Velocity_in: X: 0.000664644, Y: -0.00251778, Z: 0.0029223, Error: X: 0.736348, Y: -0.792948, Z: 1.32278, 
Current Pose: X: -0.736314, Y: 0.792917, Z: -1.32289, Yaw: 1.7697, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736314, Y: -0.792917, Z: 1.32289, Velocity_in: X: 0.000191954, Y: -0.00257409, Z: 0.00304781, Error: X: 0.736314, Y: -0.792917, Z: 1.32289, 
Current Pose: X: -0.736279, Y: 0.792865, Z: -1.32298, Yaw: 1.76971, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736279, Y: -0.792865, Z: 1.32298, Velocity_in: X: -0.000185689, Y: -0.00249795, Z: 0.00317182, Error: X: 0.736279, Y: -0.792865, Z: 1.32298, 
Current Pose: X: -0.736234, Y: 0.792799, Z: -1.32298, Yaw: 1.76973, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736234, Y: -0.792799, Z: 1.32298, Velocity_in: X: -0.000285862, Y: -0.0027195, Z: 0.00325889, Error: X: 0.736234, Y: -0.792799, Z: 1.32298, 
Current Pose: X: -0.736187, Y: 0.792745, Z: -1.32294, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736187, Y: -0.792745, Z: 1.32294, Velocity_in: X: -0.000829628, Y: -0.00262289, Z: 0.00372404, Error: X: 0.736187, Y: -0.792745, Z: 1.32294, 
Current Pose: X: -0.736118, Y: 0.792673, Z: -1.32286, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736118, Y: -0.792673, Z: 1.32286, Velocity_in: X: -0.000690412, Y: -0.00295098, Z: 0.00355853, Error: X: 0.736118, Y: -0.792673, Z: 1.32286, 
Current Pose: X: -0.736048, Y: 0.792587, Z: -1.32277, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736048, Y: -0.792587, Z: 1.32277, Velocity_in: X: -0.000937073, Y: -0.00288333, Z: 0.00338426, Error: X: 0.736048, Y: -0.792587, Z: 1.32277, 
Current Pose: X: -0.735994, Y: 0.792506, Z: -1.32271, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735994, Y: -0.792506, Z: 1.32271, Velocity_in: X: -0.00106127, Y: -0.00303456, Z: 0.00309188, Error: X: 0.735994, Y: -0.792506, Z: 1.32271, 
Current Pose: X: -0.73595, Y: 0.792448, Z: -1.32267, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73595, Y: -0.792448, Z: 1.32267, Velocity_in: X: -0.000920262, Y: -0.00292214, Z: 0.00334483, Error: X: 0.73595, Y: -0.792448, Z: 1.32267, 
Current Pose: X: -0.735925, Y: 0.792368, Z: -1.3226, Yaw: 1.76977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735925, Y: -0.792368, Z: 1.3226, Velocity_in: X: -0.00114556, Y: -0.00280402, Z: 0.00329671, Error: X: 0.735925, Y: -0.792368, Z: 1.3226, 
