Current Pose: X: -0.0326057, Y: -0.102352, Z: -4.21695, Yaw: 1.75456, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326057, Y: 0.102352, Z: 4.21695, Velocity_in: X: -0.0031878, Y: 0.00102723, Z: 0.00216591, Error: X: 0.0326057, Y: 0.102352, Z: 4.21695, 
Current Pose: X: -0.0326509, Y: -0.102356, Z: -4.21695, Yaw: 1.75466, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326509, Y: 0.102356, Z: 4.21695, Velocity_in: X: -0.00279684, Y: 0.00103078, Z: 0.00230145, Error: X: 0.0326509, Y: 0.102356, Z: 4.21695, 
Current Pose: X: -0.0326898, Y: -0.102356, Z: -4.21695, Yaw: 1.75471, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326898, Y: 0.102356, Z: 4.21695, Velocity_in: X: -0.00253877, Y: 0.00109807, Z: 0.00207733, Error: X: 0.0326898, Y: 0.102356, Z: 4.21695, 
Current Pose: X: -0.0327173, Y: -0.102362, Z: -4.21693, Yaw: 1.75472, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327173, Y: 0.102362, Z: 4.21693, Velocity_in: X: -0.00263089, Y: 0.000734173, Z: 0.00229096, Error: X: 0.0327173, Y: 0.102362, Z: 4.21693, 
Current Pose: X: -0.032735, Y: -0.102368, Z: -4.21693, Yaw: 1.75476, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032735, Y: 0.102368, Z: 4.21693, Velocity_in: X: -0.00250515, Y: 0.000746192, Z: 0.0025887, Error: X: 0.032735, Y: 0.102368, Z: 4.21693, 
Current Pose: X: -0.0327531, Y: -0.102376, Z: -4.21699, Yaw: 1.75484, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327531, Y: 0.102376, Z: 4.21699, Velocity_in: X: -0.0026653, Y: 0.0006839, Z: 0.0025507, Error: X: 0.0327531, Y: 0.102376, Z: 4.21699, 
Current Pose: X: -0.0327555, Y: -0.102401, Z: -4.21713, Yaw: 1.7549, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327555, Y: 0.102401, Z: 4.21713, Velocity_in: X: -0.00227103, Y: 0.000421432, Z: 0.00211789, Error: X: 0.0327555, Y: 0.102401, Z: 4.21713, 
Current Pose: X: -0.0327533, Y: -0.102425, Z: -4.21729, Yaw: 1.75492, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327533, Y: 0.102425, Z: 4.21729, Velocity_in: X: -0.00250088, Y: 0.000255041, Z: 0.00183616, Error: X: 0.0327533, Y: 0.102425, Z: 4.21729, 
Current Pose: X: -0.03275, Y: -0.102437, Z: -4.21747, Yaw: 1.75501, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.03275, Y: 0.102437, Z: 4.21747, Velocity_in: X: -0.00262312, Y: 9.70717e-05, Z: 0.00198205, Error: X: 0.03275, Y: 0.102437, Z: 4.21747, 
Current Pose: X: -0.0327449, Y: -0.102461, Z: -4.21792, Yaw: 1.75503, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327449, Y: 0.102461, Z: 4.21792, Velocity_in: X: -0.00264898, Y: 0.000117965, Z: 0.00217458, Error: X: 0.0327449, Y: 0.102461, Z: 4.21792, 
