Current Pose: X: 0.00184997, Y: -0.00633066, Z: -0.379632, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00184997, Y: 0.00633066, Z: 0.379632, Velocity_in: X: 0.00332577, Y: -0.000285944, Z: 0.0002357, Error: X: -0.00184997, Y: 0.00633066, Z: 0.379632, 
Current Pose: X: 0.00182627, Y: -0.00628763, Z: -0.379142, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00182627, Y: 0.00628763, Z: 0.379142, Velocity_in: X: 0.0033557, Y: -0.000205713, Z: 0.000232321, Error: X: -0.00182627, Y: 0.00628763, Z: 0.379142, 
Current Pose: X: 0.0018082, Y: -0.0062414, Z: -0.378788, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0018082, Y: 0.0062414, Z: 0.378788, Velocity_in: X: 0.00363274, Y: -0.000258602, Z: 0.000282594, Error: X: -0.0018082, Y: 0.0062414, Z: 0.378788, 
Current Pose: X: 0.00179703, Y: -0.00620692, Z: -0.378475, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00179703, Y: 0.00620692, Z: 0.378475, Velocity_in: X: 0.00369566, Y: -0.000360435, Z: 0.000268664, Error: X: -0.00179703, Y: 0.00620692, Z: 0.378475, 
Current Pose: X: 0.00179802, Y: -0.00620022, Z: -0.378117, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00179802, Y: 0.00620022, Z: 0.378117, Velocity_in: X: 0.00387229, Y: -0.000512068, Z: 0.000299757, Error: X: -0.00179802, Y: 0.00620022, Z: 0.378117, 
Current Pose: X: 0.00180768, Y: -0.00605829, Z: -0.377877, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00180768, Y: 0.00605829, Z: 0.377877, Velocity_in: X: 0.00406813, Y: -0.00053455, Z: 0.000325792, Error: X: -0.00180768, Y: 0.00605829, Z: 0.377877, 
Current Pose: X: 0.0019043, Y: -0.00609986, Z: -0.377697, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019043, Y: 0.00609986, Z: 0.377697, Velocity_in: X: 0.00125464, Y: -0.00276587, Z: 0.000542631, Error: X: -0.0019043, Y: 0.00609986, Z: 0.377697, 
Current Pose: X: 0.00200606, Y: -0.00613702, Z: -0.377553, Yaw: 1.86245, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00200606, Y: 0.00613702, Z: 0.377553, Velocity_in: X: 0.00137902, Y: -0.00259797, Z: 0.000529947, Error: X: -0.00200606, Y: 0.00613702, Z: 0.377553, 
Current Pose: X: 0.00214526, Y: -0.00617989, Z: -0.377376, Yaw: 1.86244, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00214526, Y: 0.00617989, Z: 0.377376, Velocity_in: X: 0.00143509, Y: -0.00251593, Z: 0.000612748, Error: X: -0.00214526, Y: 0.00617989, Z: 0.377376, 
Current Pose: X: 0.00223515, Y: -0.00620699, Z: -0.37726, Yaw: 1.86244, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00223515, Y: 0.00620699, Z: 0.37726, Velocity_in: X: 0.00151543, Y: -0.00256935, Z: 0.000793073, Error: X: -0.00223515, Y: 0.00620699, Z: 0.37726, 
Current Pose: X: 0.00229798, Y: -0.00624376, Z: -0.377161, Yaw: 1.86244, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00229798, Y: 0.00624376, Z: 0.377161, Velocity_in: X: 0.00151085, Y: -0.00248107, Z: 0.000838437, Error: X: -0.00229798, Y: 0.00624376, Z: 0.377161, 
Current Pose: X: 0.0023647, Y: -0.00628339, Z: -0.37675, Yaw: 1.86243, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0023647, Y: 0.00628339, Z: 0.37675, Velocity_in: X: 0.0015383, Y: -0.00233919, Z: 0.000804177, Error: X: -0.0023647, Y: 0.00628339, Z: 0.37675, 
Current Pose: X: 0.00240448, Y: -0.00630472, Z: -0.376402, Yaw: 1.86243, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00240448, Y: 0.00630472, Z: 0.376402, Velocity_in: X: 0.00155766, Y: -0.0021795, Z: 0.00102158, Error: X: -0.00240448, Y: 0.00630472, Z: 0.376402, 
