Current Pose: X: 0.020526, Y: -0.141027, Z: -0.160721, Yaw: 1.830513, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020416, Y: 0.141129, Z: 0.562510, Velocity_in: X: -0.000349, Y: 0.000343, Z: 0.019565, Error: X: -0.020526, Y: 0.141027, Z: 0.160721, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736081
Current Pose: X: 0.020509, Y: -0.141054, Z: -0.160632, Yaw: 1.830476, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020447, Y: 0.141148, Z: 0.562121, Velocity_in: X: -0.000281, Y: 0.000541, Z: 0.019509, Error: X: -0.020509, Y: 0.141054, Z: 0.160632, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736114
Current Pose: X: 0.020500, Y: -0.141091, Z: -0.160476, Yaw: 1.830459, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020468, Y: 0.141219, Z: 0.561511, Velocity_in: X: -0.000538, Y: 0.000527, Z: 0.019807, Error: X: -0.020500, Y: 0.141091, Z: 0.160476, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736148
Current Pose: X: 0.020483, Y: -0.141139, Z: -0.160509, Yaw: 1.830484, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020426, Y: 0.141307, Z: 0.561815, Velocity_in: X: -0.000550, Y: 0.000699, Z: 0.020294, Error: X: -0.020483, Y: 0.141139, Z: 0.160509, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736180
Current Pose: X: 0.020470, Y: -0.141209, Z: -0.160751, Yaw: 1.830454, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020424, Y: 0.141454, Z: 0.562872, Velocity_in: X: -0.000876, Y: 0.000534, Z: 0.020276, Error: X: -0.020470, Y: 0.141209, Z: 0.160751, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736217
Current Pose: X: 0.020469, Y: -0.141287, Z: -0.160849, Yaw: 1.830473, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020464, Y: 0.141562, Z: 0.563069, Velocity_in: X: -0.001527, Y: 0.000513, Z: 0.020254, Error: X: -0.020469, Y: 0.141287, Z: 0.160849, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736250
Current Pose: X: 0.020471, Y: -0.141401, Z: -0.160911, Yaw: 1.830434, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020481, Y: 0.141797, Z: 0.563251, Velocity_in: X: -0.001905, Y: 0.000570, Z: 0.020276, Error: X: -0.020471, Y: 0.141401, Z: 0.160911, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736282
Current Pose: X: 0.020466, Y: -0.141505, Z: -0.161090, Yaw: 1.830462, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020447, Y: 0.141873, Z: 0.563995, Velocity_in: X: -0.002284, Y: 0.000654, Z: 0.020683, Error: X: -0.020466, Y: 0.141505, Z: 0.161090, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736316
Current Pose: X: 0.020470, Y: -0.141593, Z: -0.161090, Yaw: 1.830500, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020486, Y: 0.141900, Z: 0.563817, Velocity_in: X: -0.002330, Y: 0.000725, Z: 0.020712, Error: X: -0.020470, Y: 0.141593, Z: 0.161090, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736349
Current Pose: X: 0.020479, Y: -0.141701, Z: -0.161100, Yaw: 1.830488, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020509, Y: 0.142077, Z: 0.563861, Velocity_in: X: -0.002462, Y: 0.000539, Z: 0.020823, Error: X: -0.020479, Y: 0.141701, Z: 0.161100, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736382
