Current Pose: X: 1.069082, Y: -3.019431, Z: -3.173735, Yaw: 1.925984, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320725, Y: 0.905829, Z: 0.952120, Velocity_in: X: -0.001903, Y: 0.000846, Z: -0.001579, Error: X: -1.069082, Y: 3.019431, Z: 3.173735, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674060
Current Pose: X: 1.069123, Y: -3.019467, Z: -3.173738, Yaw: 1.925110, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320737, Y: 0.905840, Z: 0.952122, Velocity_in: X: -0.001290, Y: 0.000244, Z: -0.001644, Error: X: -1.069123, Y: 3.019467, Z: 3.173738, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674093
Current Pose: X: 1.069167, Y: -3.019521, Z: -3.173710, Yaw: 1.925963, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320750, Y: 0.905856, Z: 0.952113, Velocity_in: X: -0.001816, Y: 0.000875, Z: -0.001620, Error: X: -1.069167, Y: 3.019521, Z: 3.173710, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674127
Current Pose: X: 1.069243, Y: -3.019571, Z: -3.173638, Yaw: 1.925076, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320773, Y: 0.905871, Z: 0.952091, Velocity_in: X: -0.001745, Y: -0.000205, Z: -0.001517, Error: X: -1.069243, Y: 3.019571, Z: 3.173638, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674159
Current Pose: X: 1.069279, Y: -3.019631, Z: -3.173528, Yaw: 1.925823, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320784, Y: 0.905889, Z: 0.952058, Velocity_in: X: -0.001862, Y: 0.000204, Z: -0.001435, Error: X: -1.069279, Y: 3.019631, Z: 3.173528, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674192
Current Pose: X: 1.069316, Y: -3.019679, Z: -3.173398, Yaw: 1.925777, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320795, Y: 0.905904, Z: 0.952019, Velocity_in: X: -0.001895, Y: -0.000228, Z: -0.001351, Error: X: -1.069316, Y: 3.019679, Z: 3.173398, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674225
Current Pose: X: 1.069317, Y: -3.019732, Z: -3.173263, Yaw: 1.925295, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320795, Y: 0.905920, Z: 0.951979, Velocity_in: X: -0.001554, Y: -0.000371, Z: -0.001217, Error: X: -1.069317, Y: 3.019732, Z: 3.173263, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674259
Current Pose: X: 1.069304, Y: -3.019800, Z: -3.173336, Yaw: 1.925622, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320791, Y: 0.905940, Z: 0.952001, Velocity_in: X: -0.001942, Y: 0.000536, Z: -0.001139, Error: X: -1.069304, Y: 3.019800, Z: 3.173336, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674294
Current Pose: X: 1.069309, Y: -3.019827, Z: -3.173404, Yaw: 1.925275, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320793, Y: 0.905948, Z: 0.952021, Velocity_in: X: -0.001457, Y: 0.000077, Z: -0.001103, Error: X: -1.069309, Y: 3.019827, Z: 3.173404, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674328
Current Pose: X: 1.069355, Y: -3.019859, Z: -3.173538, Yaw: 1.925707, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320806, Y: 0.905958, Z: 0.952061, Velocity_in: X: -0.001594, Y: 0.000358, Z: -0.001116, Error: X: -1.069355, Y: 3.019859, Z: 3.173538, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674360
