Current Pose: X: 2.636248, Y: 3.789624, Z: -0.212297, Yaw: 1.667298, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636293, Y: -3.789341, Z: 0.743056, Velocity_in: X: -0.003082, Y: 0.001080, Z: 0.004347, Error: X: -2.636248, Y: -3.789624, Z: 0.212297, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134137
Current Pose: X: 2.636294, Y: 3.789520, Z: -0.212299, Yaw: 1.667290, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636454, Y: -3.789156, Z: 0.743051, Velocity_in: X: -0.003276, Y: 0.000627, Z: 0.004396, Error: X: -2.636294, Y: -3.789520, Z: 0.212299, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134171
Current Pose: X: 2.636355, Y: 3.789414, Z: -0.212536, Yaw: 1.667306, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636567, Y: -3.789044, Z: 0.744114, Velocity_in: X: -0.003366, Y: 0.000163, Z: 0.004205, Error: X: -2.636355, Y: -3.789414, Z: 0.212536, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134204
Current Pose: X: 2.636411, Y: 3.789346, Z: -0.212692, Yaw: 1.667293, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636610, Y: -3.789107, Z: 0.744576, Velocity_in: X: -0.003546, Y: -0.000341, Z: 0.004364, Error: X: -2.636411, Y: -3.789346, Z: 0.212692, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134236
Current Pose: X: 2.636490, Y: 3.789259, Z: -0.212934, Yaw: 1.667319, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636763, Y: -3.788955, Z: 0.745510, Velocity_in: X: -0.003740, Y: -0.000778, Z: 0.004283, Error: X: -2.636490, Y: -3.789259, Z: 0.212934, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134270
Current Pose: X: 2.636583, Y: 3.789169, Z: -0.213122, Yaw: 1.667299, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636909, Y: -3.788855, Z: 0.746115, Velocity_in: X: -0.003657, Y: -0.001160, Z: 0.004176, Error: X: -2.636583, Y: -3.789169, Z: 0.213122, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134305
Current Pose: X: 2.636677, Y: 3.789117, Z: -0.213291, Yaw: 1.667272, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637008, Y: -3.788933, Z: 0.746688, Velocity_in: X: -0.003474, Y: -0.001378, Z: 0.003960, Error: X: -2.636677, Y: -3.789117, Z: 0.213291, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134338
Current Pose: X: 2.636750, Y: 3.789085, Z: -0.213426, Yaw: 1.667271, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637006, Y: -3.788973, Z: 0.747124, Velocity_in: X: -0.003245, Y: -0.001666, Z: 0.004066, Error: X: -2.636750, Y: -3.789085, Z: 0.213426, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134371
Current Pose: X: 2.636841, Y: 3.789022, Z: -0.213519, Yaw: 1.667241, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637157, Y: -3.788802, Z: 0.747410, Velocity_in: X: -0.003377, Y: -0.001690, Z: 0.004258, Error: X: -2.636841, Y: -3.789022, Z: 0.213519, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134404
Current Pose: X: 2.636928, Y: 3.788949, Z: -0.213525, Yaw: 1.667218, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637233, Y: -3.788692, Z: 0.747342, Velocity_in: X: -0.003657, Y: -0.001614, Z: 0.004461, Error: X: -2.636928, Y: -3.788949, Z: 0.213525, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134438
Current Pose: X: 2.637007, Y: 3.788881, Z: -0.213600, Yaw: 1.667234, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637284, Y: -3.788643, Z: 0.747674, Velocity_in: X: -0.002925, Y: -0.001595, Z: 0.004317, Error: X: -2.637007, Y: -3.788881, Z: 0.213600, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134471
Current Pose: X: 2.637060, Y: 3.788841, Z: -0.213629, Yaw: 1.667241, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637244, Y: -3.788705, Z: 0.747732, Velocity_in: X: -0.002655, Y: -0.001718, Z: 0.004589, Error: X: -2.637060, Y: -3.788841, Z: 0.213629, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134504
Current Pose: X: 2.637120, Y: 3.788794, Z: -0.213614, Yaw: 1.667188, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637331, Y: -3.788627, Z: 0.747633, Velocity_in: X: -0.002983, Y: -0.001822, Z: 0.004793, Error: X: -2.637120, Y: -3.788794, Z: 0.213614, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134537
Current Pose: X: 2.637167, Y: 3.788772, Z: -0.213559, Yaw: 1.667165, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637330, Y: -3.788695, Z: 0.747402, Velocity_in: X: -0.002828, Y: -0.001621, Z: 0.004477, Error: X: -2.637167, Y: -3.788772, Z: 0.213559, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134571
Current Pose: X: 2.637184, Y: 3.788765, Z: -0.213516, Yaw: 1.667086, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637243, Y: -3.788742, Z: 0.747263, Velocity_in: X: -0.002600, Y: -0.001497, Z: 0.004015, Error: X: -2.637184, Y: -3.788765, Z: 0.213516, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134604
Current Pose: X: 2.637196, Y: 3.788755, Z: -0.213281, Yaw: 1.667119, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637241, Y: -3.788719, Z: 0.746250, Velocity_in: X: -0.002230, Y: -0.001254, Z: 0.003926, Error: X: -2.637196, Y: -3.788755, Z: 0.213281, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134636
Current Pose: X: 2.637220, Y: 3.788753, Z: -0.213047, Yaw: 1.667115, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.637304, Y: -3.788747, Z: 0.745432, Velocity_in: X: -0.002319, Y: -0.001086, Z: 0.003858, Error: X: -2.637220, Y: -3.788753, Z: 0.213047, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134670
