Current Pose: X: 1.467787, Y: 4.535806, Z: 0.180548, Yaw: 1.847523, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467586, Y: -4.535661, Z: -0.631660, Velocity_in: X: -0.001303, Y: 0.003747, Z: 0.003624, Error: X: -1.467787, Y: -4.535806, Z: -0.180548, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575415
Current Pose: X: 1.467754, Y: 4.535777, Z: 0.180356, Yaw: 1.847532, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467637, Y: -4.535675, Z: -0.631053, Velocity_in: X: -0.001415, Y: 0.004062, Z: 0.003610, Error: X: -1.467754, Y: -4.535777, Z: -0.180356, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575468
Current Pose: X: 1.467734, Y: 4.535742, Z: 0.180107, Yaw: 1.847493, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467662, Y: -4.535622, Z: -0.630126, Velocity_in: X: -0.001456, Y: 0.003548, Z: 0.003891, Error: X: -1.467734, Y: -4.535742, Z: -0.180107, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575508
Current Pose: X: 1.467715, Y: 4.535710, Z: 0.179770, Yaw: 1.847496, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467652, Y: -4.535596, Z: -0.628860, Velocity_in: X: -0.001175, Y: 0.003124, Z: 0.003934, Error: X: -1.467715, Y: -4.535710, Z: -0.179770, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575549
Current Pose: X: 1.467714, Y: 4.535680, Z: 0.179528, Yaw: 1.847532, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467708, Y: -4.535577, Z: -0.628107, Velocity_in: X: -0.001508, Y: 0.002894, Z: 0.003886, Error: X: -1.467714, Y: -4.535680, Z: -0.179528, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575602
Current Pose: X: 1.467704, Y: 4.535627, Z: 0.179278, Yaw: 1.847574, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467670, Y: -4.535442, Z: -0.627223, Velocity_in: X: -0.001685, Y: 0.002977, Z: 0.004133, Error: X: -1.467704, Y: -4.535627, Z: -0.179278, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575638
Current Pose: X: 1.467700, Y: 4.535579, Z: 0.179031, Yaw: 1.847542, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467686, Y: -4.535408, Z: -0.626362, Velocity_in: X: -0.001890, Y: 0.003463, Z: 0.004325, Error: X: -1.467700, Y: -4.535579, Z: -0.179031, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575694
Current Pose: X: 1.467704, Y: 4.535535, Z: 0.178819, Yaw: 1.847563, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467718, Y: -4.535381, Z: -0.625653, Velocity_in: X: -0.001591, Y: 0.003099, Z: 0.004030, Error: X: -1.467704, Y: -4.535535, Z: -0.178819, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575766
Current Pose: X: 1.467715, Y: 4.535508, Z: 0.178674, Yaw: 1.847619, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467752, Y: -4.535415, Z: -0.625215, Velocity_in: X: -0.001462, Y: 0.002958, Z: 0.004137, Error: X: -1.467715, Y: -4.535508, Z: -0.178674, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575805
Current Pose: X: 1.467730, Y: 4.535468, Z: 0.178364, Yaw: 1.847628, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467782, Y: -4.535326, Z: -0.623963, Velocity_in: X: -0.001520, Y: 0.002737, Z: 0.004088, Error: X: -1.467730, Y: -4.535468, Z: -0.178364, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575842
