Current Pose: X: -1.228552, Y: 1.783582, Z: -0.563909, Yaw: 1.768055, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228495, Y: -1.783270, Z: 1.974047, Velocity_in: X: -0.005074, Y: -0.000417, Z: -0.000561, Error: X: 1.228552, Y: -1.783582, Z: 0.563909, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207582
Current Pose: X: -1.228533, Y: 1.783466, Z: -0.564411, Yaw: 1.768062, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228464, Y: -1.783058, Z: 1.975939, Velocity_in: X: -0.004783, Y: -0.000410, Z: -0.000527, Error: X: 1.228533, Y: -1.783466, Z: 0.564411, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207614
Current Pose: X: -1.228516, Y: 1.783359, Z: -0.565048, Yaw: 1.768048, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228456, Y: -1.782986, Z: 1.978303, Velocity_in: X: -0.005019, Y: -0.000429, Z: -0.000873, Error: X: 1.228516, Y: -1.783359, Z: 0.565048, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207647
Current Pose: X: -1.228499, Y: 1.783281, Z: -0.565477, Yaw: 1.768014, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228441, Y: -1.783008, Z: 1.979599, Velocity_in: X: -0.005239, Y: -0.000785, Z: -0.000797, Error: X: 1.228499, Y: -1.783281, Z: 0.565477, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207681
Current Pose: X: -1.228489, Y: 1.783196, Z: -0.566003, Yaw: 1.767991, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228452, Y: -1.782898, Z: 1.981534, Velocity_in: X: -0.004805, Y: -0.000610, Z: -0.000545, Error: X: 1.228489, Y: -1.783196, Z: 0.566003, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207713
Current Pose: X: -1.228472, Y: 1.783117, Z: -0.566336, Yaw: 1.767971, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228412, Y: -1.782840, Z: 1.982508, Velocity_in: X: -0.004701, Y: -0.000474, Z: -0.000403, Error: X: 1.228472, Y: -1.783117, Z: 0.566336, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207746
Current Pose: X: -1.228453, Y: 1.783062, Z: -0.566579, Yaw: 1.767973, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228390, Y: -1.782867, Z: 1.983270, Velocity_in: X: -0.004441, Y: -0.000617, Z: -0.000326, Error: X: 1.228453, Y: -1.783062, Z: 0.566579, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207779
Current Pose: X: -1.228433, Y: 1.782994, Z: -0.566905, Yaw: 1.767970, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228361, Y: -1.782758, Z: 1.984492, Velocity_in: X: -0.004520, Y: -0.000903, Z: 0.000037, Error: X: 1.228433, Y: -1.782994, Z: 0.566905, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207815
Current Pose: X: -1.228408, Y: 1.782937, Z: -0.567039, Yaw: 1.767955, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228322, Y: -1.782735, Z: 1.984773, Velocity_in: X: -0.004365, Y: -0.001003, Z: -0.000357, Error: X: 1.228408, Y: -1.782937, Z: 0.567039, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207848
Current Pose: X: -1.228392, Y: 1.782882, Z: -0.567096, Yaw: 1.767883, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228335, Y: -1.782689, Z: 1.984892, Velocity_in: X: -0.004219, Y: -0.000839, Z: -0.000466, Error: X: 1.228392, Y: -1.782882, Z: 0.567096, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207882
