Current Pose: X: 0.718725, Y: -2.036937, Z: -1.780856, Yaw: 2.011563, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006190, Y: 2.851770, Z: 6.233553, Velocity_in: X: -0.000515, Y: -0.000398, Z: -0.002403, Error: X: -0.718725, Y: 2.036937, Z: 1.780856, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847343
Current Pose: X: 0.718721, Y: -2.036952, Z: -1.781330, Yaw: 2.011570, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006193, Y: 2.851785, Z: 6.235130, Velocity_in: X: -0.000392, Y: -0.000369, Z: -0.002601, Error: X: -0.718721, Y: 2.036952, Z: 1.781330, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847367
Current Pose: X: 0.718716, Y: -2.036973, Z: -1.781937, Yaw: 2.011563, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006185, Y: 2.851837, Z: 6.237387, Velocity_in: X: -0.000252, Y: -0.000487, Z: -0.002784, Error: X: -0.718716, Y: 2.036973, Z: 1.781937, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847425
Current Pose: X: 0.718712, Y: -2.036989, Z: -1.782390, Yaw: 2.011568, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006184, Y: 2.851841, Z: 6.238816, Velocity_in: X: -0.000301, Y: -0.000478, Z: -0.002823, Error: X: -0.718712, Y: 2.036989, Z: 1.782390, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847484
Current Pose: X: 0.718711, Y: -2.037005, Z: -1.782823, Yaw: 2.011570, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006190, Y: 2.851862, Z: 6.240313, Velocity_in: X: -0.000255, Y: -0.000574, Z: -0.002744, Error: X: -0.718711, Y: 2.037005, Z: 1.782823, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847544
Current Pose: X: 0.718708, Y: -2.037022, Z: -1.783265, Yaw: 2.011586, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006183, Y: 2.851891, Z: 6.241869, Velocity_in: X: -0.000213, Y: -0.000655, Z: -0.002766, Error: X: -0.718708, Y: 2.037022, Z: 1.783265, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847606
Current Pose: X: 0.718703, Y: -2.037050, Z: -1.783915, Yaw: 2.011579, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006164, Y: 2.851968, Z: 6.244352, Velocity_in: X: -0.000302, Y: -0.000606, Z: -0.002847, Error: X: -0.718703, Y: 2.037050, Z: 1.783915, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847666
Current Pose: X: 0.718693, Y: -2.037074, Z: -1.784490, Yaw: 2.011559, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006139, Y: 2.851986, Z: 6.246292, Velocity_in: X: -0.000314, Y: -0.000651, Z: -0.002728, Error: X: -0.718693, Y: 2.037074, Z: 1.784490, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847708
Current Pose: X: 0.718684, Y: -2.037102, Z: -1.785025, Yaw: 2.011554, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006126, Y: 2.852040, Z: 6.248122, Velocity_in: X: -0.000399, Y: -0.000476, Z: -0.002782, Error: X: -0.718684, Y: 2.037102, Z: 1.785025, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847792
Current Pose: X: 0.718675, Y: -2.037145, Z: -1.785666, Yaw: 2.011546, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006110, Y: 2.852154, Z: 6.250474, Velocity_in: X: -0.000389, Y: -0.000460, Z: -0.002742, Error: X: -0.718675, Y: 2.037145, Z: 1.785666, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847846
Current Pose: X: 0.718666, Y: -2.037181, Z: -1.786190, Yaw: 2.011555, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006102, Y: 2.852182, Z: 6.252189, Velocity_in: X: -0.000512, Y: -0.000414, Z: -0.002661, Error: X: -0.718666, Y: 2.037181, Z: 1.786190, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847886
Current Pose: X: 0.718655, Y: -2.037221, Z: -1.786665, Yaw: 2.011563, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006079, Y: 2.852249, Z: 6.253803, Velocity_in: X: -0.000570, Y: -0.000417, Z: -0.002756, Error: X: -0.718655, Y: 2.037221, Z: 1.786665, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847950
Current Pose: X: 0.718636, Y: -2.037278, Z: -1.787222, Yaw: 2.011569, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006022, Y: 2.852388, Z: 6.255834, Velocity_in: X: -0.000470, Y: -0.000234, Z: -0.002805, Error: X: -0.718636, Y: 2.037278, Z: 1.787222, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 848009
Current Pose: X: 0.718621, Y: -2.037323, Z: -1.787520, Yaw: 2.011572, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006020, Y: 2.852410, Z: 6.256617, Velocity_in: X: -0.000482, Y: 0.000008, Z: -0.002810, Error: X: -0.718621, Y: 2.037323, Z: 1.787520, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 848051
Current Pose: X: 0.718612, Y: -2.037368, Z: -1.787758, Yaw: 2.011570, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006025, Y: 2.852471, Z: 6.257392, Velocity_in: X: -0.000479, Y: 0.000038, Z: -0.002791, Error: X: -0.718612, Y: 2.037368, Z: 1.787758, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 848111
Current Pose: X: 0.718605, Y: -2.037412, Z: -1.787912, Yaw: 2.011559, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006024, Y: 2.852533, Z: 6.257845, Velocity_in: X: -0.000467, Y: -0.000062, Z: -0.002696, Error: X: -0.718605, Y: 2.037412, Z: 1.787912, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 848170
Current Pose: X: 0.718593, Y: -2.037474, Z: -1.788126, Yaw: 2.011557, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005989, Y: 2.852681, Z: 6.258656, Velocity_in: X: -0.000454, Y: -0.000008, Z: -0.002748, Error: X: -0.718593, Y: 2.037474, Z: 1.788126, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 848213
