Current Pose: X: 0.063669, Y: -0.446333, Z: -1.056262, Yaw: -3.061132, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063741, Y: 0.446447, Z: 3.696698, Velocity_in: X: -0.000572, Y: 0.002912, Z: 0.007249, Error: X: -0.063669, Y: 0.446333, Z: 1.056262, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293697
Current Pose: X: 0.063702, Y: -0.446384, Z: -1.056151, Yaw: -3.061121, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063820, Y: 0.446562, Z: 3.696418, Velocity_in: X: -0.000569, Y: 0.003152, Z: 0.007444, Error: X: -0.063702, Y: 0.446384, Z: 1.056151, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293699
Current Pose: X: 0.063754, Y: -0.446430, Z: -1.056145, Yaw: -3.061111, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063936, Y: 0.446590, Z: 3.696503, Velocity_in: X: -0.000834, Y: 0.003357, Z: 0.007497, Error: X: -0.063754, Y: 0.446430, Z: 1.056145, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293704
Current Pose: X: 0.063800, Y: -0.446450, Z: -1.056227, Yaw: -3.061142, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063959, Y: 0.446523, Z: 3.696875, Velocity_in: X: -0.001541, Y: 0.002983, Z: 0.007628, Error: X: -0.063800, Y: 0.446450, Z: 1.056227, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293710
Current Pose: X: 0.063866, Y: -0.446473, Z: -1.056322, Yaw: -3.061149, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064098, Y: 0.446551, Z: 3.697224, Velocity_in: X: -0.001461, Y: 0.002927, Z: 0.007100, Error: X: -0.063866, Y: 0.446473, Z: 1.056322, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293714
Current Pose: X: 0.063937, Y: -0.446503, Z: -1.056394, Yaw: -3.061073, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064186, Y: 0.446609, Z: 3.697449, Velocity_in: X: -0.001695, Y: 0.002641, Z: 0.006873, Error: X: -0.063937, Y: 0.446503, Z: 1.056394, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293718
Current Pose: X: 0.064019, Y: -0.446510, Z: -1.056509, Yaw: -3.061066, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064307, Y: 0.446536, Z: 3.697898, Velocity_in: X: -0.001509, Y: 0.003189, Z: 0.006703, Error: X: -0.064019, Y: 0.446510, Z: 1.056509, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293722
Current Pose: X: 0.064087, Y: -0.446523, Z: -1.056690, Yaw: -3.061082, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064322, Y: 0.446566, Z: 3.698596, Velocity_in: X: -0.002026, Y: 0.003147, Z: 0.006592, Error: X: -0.064087, Y: 0.446523, Z: 1.056690, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293724
Current Pose: X: 0.064125, Y: -0.446529, Z: -1.056777, Yaw: -3.061117, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064257, Y: 0.446551, Z: 3.698809, Velocity_in: X: -0.001283, Y: 0.002981, Z: 0.006699, Error: X: -0.064125, Y: 0.446529, Z: 1.056777, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293726
Current Pose: X: 0.064166, Y: -0.446557, Z: -1.056985, Yaw: -3.061118, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064312, Y: 0.446654, Z: 3.699656, Velocity_in: X: -0.000865, Y: 0.003132, Z: 0.006324, Error: X: -0.064166, Y: 0.446557, Z: 1.056985, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293730
