Current Pose: X: -1.263209, Y: -2.162900, Z: 0.628120, Yaw: 1.652326, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263131, Y: 2.163173, Z: -2.198520, Velocity_in: X: -0.000620, Y: -0.000962, Z: 0.000495, Error: X: 1.263209, Y: 2.162900, Z: -0.628120, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022095
Current Pose: X: -1.263172, Y: -2.163028, Z: 0.628203, Yaw: 1.652281, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263040, Y: 2.163474, Z: -2.198792, Velocity_in: X: -0.000954, Y: -0.000981, Z: 0.000450, Error: X: 1.263172, Y: 2.163028, Z: -0.628203, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022131
Current Pose: X: -1.263129, Y: -2.163147, Z: 0.628139, Yaw: 1.652270, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262982, Y: 2.163564, Z: -2.198423, Velocity_in: X: -0.001593, Y: -0.001008, Z: 0.000632, Error: X: 1.263129, Y: 2.163147, Z: -0.628139, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022164
Current Pose: X: -1.263069, Y: -2.163271, Z: 0.628089, Yaw: 1.652263, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262856, Y: 2.163704, Z: -2.198263, Velocity_in: X: -0.001705, Y: -0.001238, Z: 0.000536, Error: X: 1.263069, Y: 2.163271, Z: -0.628089, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022197
Current Pose: X: -1.263013, Y: -2.163380, Z: 0.628071, Yaw: 1.652271, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262820, Y: 2.163761, Z: -2.198230, Velocity_in: X: -0.002257, Y: -0.001808, Z: 0.000621, Error: X: 1.263013, Y: 2.163380, Z: -0.628071, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022231
Current Pose: X: -1.262944, Y: -2.163531, Z: 0.628124, Yaw: 1.652293, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262703, Y: 2.164060, Z: -2.198485, Velocity_in: X: -0.002770, Y: -0.001958, Z: 0.000729, Error: X: 1.262944, Y: 2.163531, Z: -0.628124, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022264
Current Pose: X: -1.262864, Y: -2.163690, Z: 0.628184, Yaw: 1.652296, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262584, Y: 2.164245, Z: -2.198704, Velocity_in: X: -0.002866, Y: -0.001970, Z: 0.000401, Error: X: 1.262864, Y: 2.163690, Z: -0.628184, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022301
Current Pose: X: -1.262803, Y: -2.163811, Z: 0.628276, Yaw: 1.652317, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262586, Y: 2.164235, Z: -2.199060, Velocity_in: X: -0.003335, Y: -0.002190, Z: 0.000188, Error: X: 1.262803, Y: 2.163811, Z: -0.628276, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022331
Current Pose: X: -1.262730, Y: -2.163982, Z: 0.628386, Yaw: 1.652305, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262478, Y: 2.164583, Z: -2.199460, Velocity_in: X: -0.003580, Y: -0.001701, Z: 0.000140, Error: X: 1.262730, Y: 2.163982, Z: -0.628386, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022363
Current Pose: X: -1.262663, Y: -2.164170, Z: 0.628477, Yaw: 1.652272, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262425, Y: 2.164826, Z: -2.199761, Velocity_in: X: -0.004319, Y: -0.001857, Z: -0.000283, Error: X: 1.262663, Y: 2.164170, Z: -0.628477, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022395
Current Pose: X: -1.262630, Y: -2.164334, Z: 0.628327, Yaw: 1.652284, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262514, Y: 2.164907, Z: -2.198996, Velocity_in: X: -0.004234, Y: -0.001703, Z: -0.000304, Error: X: 1.262630, Y: 2.164334, Z: -0.628327, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022432
