Current Pose: X: 0.134072, Y: -0.629251, Z: 0.211956, Yaw: 1.583817, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134192, Y: 0.629350, Z: -0.742009, Velocity_in: X: -0.001134, Y: -0.000669, Z: -0.000133, Error: X: -0.134072, Y: 0.629251, Z: -0.211956, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198912
Current Pose: X: 0.134092, Y: -0.629275, Z: 0.212048, Yaw: 1.583813, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134162, Y: 0.629362, Z: -0.742259, Velocity_in: X: -0.001153, Y: -0.000616, Z: -0.000067, Error: X: -0.134092, Y: 0.629275, Z: -0.212048, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198948
Current Pose: X: 0.134100, Y: -0.629300, Z: 0.212082, Yaw: 1.583814, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134130, Y: 0.629386, Z: -0.742319, Velocity_in: X: -0.001137, Y: -0.000464, Z: -0.000116, Error: X: -0.134100, Y: 0.629300, Z: -0.212082, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198981
Current Pose: X: 0.134084, Y: -0.629333, Z: 0.212143, Yaw: 1.583823, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134026, Y: 0.629451, Z: -0.742562, Velocity_in: X: -0.001120, Y: -0.000414, Z: -0.000002, Error: X: -0.134084, Y: 0.629333, Z: -0.212143, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199014
Current Pose: X: 0.134055, Y: -0.629360, Z: 0.212197, Yaw: 1.583829, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133956, Y: 0.629452, Z: -0.742742, Velocity_in: X: -0.001062, Y: -0.000122, Z: 0.000162, Error: X: -0.134055, Y: 0.629360, Z: -0.212197, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199048
Current Pose: X: 0.134025, Y: -0.629384, Z: 0.212319, Yaw: 1.583820, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133919, Y: 0.629470, Z: -0.743237, Velocity_in: X: -0.001143, Y: 0.000014, Z: 0.000244, Error: X: -0.134025, Y: 0.629384, Z: -0.212319, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199080
Current Pose: X: 0.133989, Y: -0.629406, Z: 0.212432, Yaw: 1.583823, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133863, Y: 0.629484, Z: -0.743626, Velocity_in: X: -0.001069, Y: 0.000126, Z: 0.000404, Error: X: -0.133989, Y: 0.629406, Z: -0.212432, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199113
Current Pose: X: 0.133934, Y: -0.629432, Z: 0.212573, Yaw: 1.583826, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133741, Y: 0.629520, Z: -0.744148, Velocity_in: X: -0.000891, Y: 0.000266, Z: 0.000515, Error: X: -0.133934, Y: 0.629432, Z: -0.212573, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199147
Current Pose: X: 0.133877, Y: -0.629463, Z: 0.212737, Yaw: 1.583816, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133676, Y: 0.629575, Z: -0.744743, Velocity_in: X: -0.000745, Y: 0.000381, Z: 0.000614, Error: X: -0.133877, Y: 0.629463, Z: -0.212737, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199179
Current Pose: X: 0.133813, Y: -0.629496, Z: 0.212919, Yaw: 1.583801, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133588, Y: 0.629610, Z: -0.745399, Velocity_in: X: -0.000739, Y: 0.000607, Z: 0.000753, Error: X: -0.133813, Y: 0.629496, Z: -0.212919, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199212
Current Pose: X: 0.133734, Y: -0.629534, Z: 0.213263, Yaw: 1.583795, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133461, Y: 0.629669, Z: -0.746763, Velocity_in: X: -0.000705, Y: 0.000645, Z: 0.000793, Error: X: -0.133734, Y: 0.629534, Z: -0.213263, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199248
Current Pose: X: 0.133669, Y: -0.629576, Z: 0.213501, Yaw: 1.583802, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133440, Y: 0.629721, Z: -0.747492, Velocity_in: X: -0.000715, Y: 0.000913, Z: 0.000832, Error: X: -0.133669, Y: 0.629576, Z: -0.213501, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199281
Current Pose: X: 0.133605, Y: -0.629629, Z: 0.213706, Yaw: 1.583804, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133379, Y: 0.629813, Z: -0.748177, Velocity_in: X: -0.000851, Y: 0.001053, Z: 0.000856, Error: X: -0.133605, Y: 0.629629, Z: -0.213706, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199314
Current Pose: X: 0.133502, Y: -0.629699, Z: 0.213819, Yaw: 1.583807, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133144, Y: 0.629944, Z: -0.748479, Velocity_in: X: -0.000850, Y: 0.001027, Z: 0.000842, Error: X: -0.133502, Y: 0.629699, Z: -0.213819, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199348
Current Pose: X: 0.133417, Y: -0.629759, Z: 0.213884, Yaw: 1.583808, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133117, Y: 0.629970, Z: -0.748657, Velocity_in: X: -0.000903, Y: 0.001129, Z: 0.000962, Error: X: -0.133417, Y: 0.629759, Z: -0.213884, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199380
Current Pose: X: 0.133333, Y: -0.629834, Z: 0.213913, Yaw: 1.583813, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133039, Y: 0.630098, Z: -0.748727, Velocity_in: X: -0.000958, Y: 0.001449, Z: 0.000974, Error: X: -0.133333, Y: 0.629834, Z: -0.213913, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1199413
